id	subgroup	boundary	owner	evidence	scope	claim	status	limitation
G197-S05-F001	G197-S05	loopback	runtime/network	tests/rf204/G197/validate.py::owners	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Loopback or local vectors; external networking and advanced crypto remain gated
G197-S05-F002	G197-S05	external network	tests/rf204/G188/sandbox.py	tests/rf204/G197/validate.py::envelope	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Loopback or local vectors; external networking and advanced crypto remain gated
G197-S05-F003	G197-S05	SHA256 HMAC	runtime/crypto/sha256.asm	tests/rf204/G197/validate.py::owners	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Loopback or local vectors; external networking and advanced crypto remain gated
G197-S05-F004	G197-S05	TLS AEAD KDF	runtime/security/crypto_gate.asm	tests/rf204/G197/validate.py::owners	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Loopback or local vectors; external networking and advanced crypto remain gated
G197-S05-F005	G197-S05	PQC ZK MPC constant time	compiler/sdk/crypto.py	tests/rf204/G197/validate.py::models	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Loopback or local vectors; external networking and advanced crypto remain gated
G197-S06-F001	G197-S06	plugin manifests	compiler/sdk/extensions.py	tests/rf204/G197/validate.py::plugins	REFERENCE_MODEL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Closed local Python reference; arbitrary native plugins and remote nodes excluded
G197-S06-F002	G197-S06	logical sandbox	compiler/sdk/extensions.py	tests/rf204/G197/validate.py::models	REFERENCE_MODEL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Closed local Python reference; arbitrary native plugins and remote nodes excluded
G197-S06-F003	G197-S06	FFI ABI ownership	compiler/sdk/extensions.py	tests/rf204/G197/validate.py::models	REFERENCE_MODEL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Closed local Python reference; arbitrary native plugins and remote nodes excluded
G197-S06-F004	G197-S06	IPC distributed boundaries	compiler/sdk/extensions.py	tests/rf204/G197/validate.py::models	REFERENCE_MODEL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Closed local Python reference; arbitrary native plugins and remote nodes excluded
G197-S06-F005	G197-S06	provenance fault injection	compiler/sdk/extensions.py	tests/rf204/G197/validate.py::models	REFERENCE_MODEL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Closed local Python reference; arbitrary native plugins and remote nodes excluded
G197-S07-F001	G197-S07	gate registry	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Trusted caller acceptance pins; no reviewer identity certification or release authorization
G197-S07-F002	G197-S07	reviewer role	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Trusted caller acceptance pins; no reviewer identity certification or release authorization
G197-S07-F003	G197-S07	candidate evidence binding	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Trusted caller acceptance pins; no reviewer identity certification or release authorization
G197-S07-F004	G197-S07	pass fail revoked states	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Trusted caller acceptance pins; no reviewer identity certification or release authorization
G197-S07-F005	G197-S07	waivers acceptance	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Trusted caller acceptance pins; no reviewer identity certification or release authorization
G197-S08-F001	G197-S08	independent audit	tests/rf204/G197/audit.py	tests/rf204/G197/audit.py	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local conformance closeout only; pending final release gates remain blockers
G197-S08-F002	G197-S08	mandatory claim denominator	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local conformance closeout only; pending final release gates remain blockers
G197-S08-F003	G197-S08	readiness consumer	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local conformance closeout only; pending final release gates remain blockers
G197-S08-F004	G197-S08	installed SDK inspection	compiler/sdk/sdk_builder.py	tests/rf204/G197/validate.py::installed	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local conformance closeout only; pending final release gates remain blockers
G197-S08-F005	G197-S08	blocker registry	compiler/sdk/security_readiness.py	tests/rf204/G197/validate.py::records	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local conformance closeout only; pending final release gates remain blockers
