registry_id	class	lexeme	code_points	context	fixity	arity	precedence	associativity	canonical_ascii	domain	current_state	target_state	installation_state	source_registry_tsv_sha256
NSR-CORE-011	CORE_ALWAYS_ON	//	U+002F U+002F	lexer outside Text/Char/raw literals	lexical	N	LEXICAL	N/A	//	core	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-012	CORE_ALWAYS_ON	+	U+002B	numeric expression	infix	2	P130_ADDITIVE	left	+	core.numeric	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-013	CORE_ALWAYS_ON	-	U+002D	numeric expression	infix	2	P130_ADDITIVE	left	-	core.numeric	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-014	CORE_ALWAYS_ON	*	U+002A	numeric expression	infix	2	P140_MULTIPLICATIVE	left	*	core.numeric	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-015	CORE_ALWAYS_ON	/	U+002F	numeric expression	infix	2	P140_MULTIPLICATIVE	left	/	core.numeric	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL_INT_TRUNCATE_TOWARD_ZERO	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-016	CORE_ALWAYS_ON	%	U+0025	between expressions	infix	2	P140_MULTIPLICATIVE	left	%	core.numeric	ACTIVE_CURRENT_INT	CANONICAL_INFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-017	CORE_ALWAYS_ON	^	U+005E	numeric or algebraic expression	infix	2	P160_POWER	right	^	core.numeric	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-018	CORE_ALWAYS_ON	+	U+002B	prefix numeric expression	prefix	1	P150_PREFIX	right	+	core.numeric	INACTIVE_OR_PROFILE_LIMITED	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-019	CORE_ALWAYS_ON	-	U+002D	prefix numeric expression	prefix	1	P150_PREFIX	right	-	core.numeric	ACTIVE_CURRENT_INT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-020	CORE_ALWAYS_ON	!	U+0021	prefix Boolean expression	prefix	1	P150_PREFIX	right	!	core.logic	ACTIVE_CURRENT	CANONICAL_PREFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-021	CORE_ALWAYS_ON	&&	U+0026 U+0026	Boolean expression	infix	2	P090_AND	left	&&	core.logic	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-022	CORE_ALWAYS_ON	||	U+007C U+007C	Boolean expression	infix	2	P080_OR	left	||	core.logic	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-023	CORE_ALWAYS_ON	xor	U+0078 U+006F U+0072	Boolean, Int or Bytes expression	infix keyword	2	P100_XOR	left	xor	core.logic_bits	METHOD_SUBSTRATE_ACTIVE_SYMBOL_INACTIVE	APPROVED_CANONICAL_ASCII	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-024	CORE_ALWAYS_ON	<	U+003C	ordered expression	infix	2	P120_RELATIONAL	non-associative	<	core.compare	ACTIVE_CURRENT_INT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-025	CORE_ALWAYS_ON	<=	U+003C U+003D	ordered expression	infix	2	P120_RELATIONAL	non-associative	<=	core.compare	ACTIVE_CURRENT_INT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-026	CORE_ALWAYS_ON	>	U+003E	ordered expression	infix	2	P120_RELATIONAL	non-associative	>	core.compare	ACTIVE_CURRENT_INT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-027	CORE_ALWAYS_ON	>=	U+003E U+003D	ordered expression	infix	2	P120_RELATIONAL	non-associative	>=	core.compare	ACTIVE_CURRENT_INT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-028	CORE_ALWAYS_ON	==	U+003D U+003D	equality expression	infix	2	P110_EQUALITY	non-associative	==	core.eq	ACTIVE_CURRENT_INT_BOOL_TEXT_BOUNDED	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-029	CORE_ALWAYS_ON	!=	U+0021 U+003D	equality expression	infix	2	P110_EQUALITY	non-associative	!=	core.eq	ACTIVE_CURRENT_INT_BOOL_TEXT_BOUNDED	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-030	CORE_ALWAYS_ON	<=>	U+003C U+003D U+003E	ordered expression	infix	2	P120_RELATIONAL	non-associative	<=>	core.compare	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-031	CORE_ALWAYS_ON	=	U+003D	statement to an existing mutable lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	=	core.mutation	ACTIVE_CURRENT	CANONICAL_STATEMENT	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-032	CORE_ALWAYS_ON	+=	U+002B U+003D	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	+=	core.mutation	ACTIVE_CURRENT_INT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-033	CORE_ALWAYS_ON	-=	U+002D U+003D	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	-=	core.mutation	ACTIVE_CURRENT_INT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-034	CORE_ALWAYS_ON	*=	U+002A U+003D	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	*=	core.mutation	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-035	CORE_ALWAYS_ON	/=	U+002F U+003D	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	/=	core.mutation	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-036	CORE_ALWAYS_ON	%=	U+0025 U+003D	statement to an existing mutable Int-like lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	%=	core.mutation	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-037	CORE_ALWAYS_ON	^=	U+005E U+003D	statement to an existing mutable power-capable lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	^=	core.mutation	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-038	CORE_ALWAYS_ON	?	U+003F	postfix on Result in a compatible Result-returning context	postfix	1	P170_POSTFIX	left	?	core.result	ACTIVE_CURRENT_BOUNDED	CANONICAL_CONTEXTUAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-039	CORE_ALWAYS_ON	??	U+003F U+003F	infix on Option	infix	2	P050_COALESCE	right	??	core.option	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-040	CORE_ALWAYS_ON	?.	U+003F U+002E	suffix on Option	postfix/contextual	1+	P180_SUFFIX	left	?.	core.option	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-041	CORE_ALWAYS_ON	??=	U+003F U+003F U+003D	statement to mutable Option lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	??=	core.option_mutation	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-042	CORE_ALWAYS_ON	%	U+0025	immediately after a numeric expression without an intervening operator	postfix	1	P170_POSTFIX	left	%	core.quantity	INACTIVE_CURRENT	APPROVED_CANONICAL_POSTFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-043	CORE_ALWAYS_ON	…	U+2026	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.inclusive	core.range	RANGE_API_ACTIVE_SYMBOL_INACTIVE	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-044	CORE_ALWAYS_ON	…<	U+2026 U+003C	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.exclusiveEnd	core.range	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-045	CORE_ALWAYS_ON	<…	U+003C U+2026	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.exclusiveStart	core.range	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-046	CORE_ALWAYS_ON	<…<	U+003C U+2026 U+003C	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.exclusive	core.range	INACTIVE_CURRENT	APPROVED_CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-047	CORE_ALWAYS_ON	..	U+002E U+002E	expression followed by a lateral block	special flow form	2	SPECIAL_LATERAL_FLOW	non-associative	..	core.flow	INACTIVE_CURRENT	APPROVED_CANONICAL_BOUNDED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-001	UNICODE_ALIAS	−	U+2212	prefix or infix numeric expression	alias	1 or 2	SAME_AS_ASCII	same as `-`	-	core.numeric	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-002	UNICODE_ALIAS	÷	U+00F7	infix numeric expression	alias	2	SAME_AS_ASCII	left	/	core.numeric	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-003	UNICODE_ALIAS	≤	U+2264	relational expression	alias	2	SAME_AS_ASCII	non-associative	<=	core.compare	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-004	UNICODE_ALIAS	≥	U+2265	relational expression	alias	2	SAME_AS_ASCII	non-associative	>=	core.compare	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-005	UNICODE_ALIAS	≠	U+2260	equality expression	alias	2	SAME_AS_ASCII	non-associative	!=	core.eq	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-006	UNICODE_ALIAS	∧	U+2227	Boolean expression	alias	2	SAME_AS_ASCII	left	&&	core.logic	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-007	UNICODE_ALIAS	∨	U+2228	Boolean expression	alias	2	SAME_AS_ASCII	left	||	core.logic	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-008	UNICODE_ALIAS	¬	U+00AC	prefix Boolean expression	alias	1	SAME_AS_ASCII	right	!	core.logic	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-UA-009	UNICODE_ALIAS	⊻	U+22BB	Bool, Int or Bytes expression	alias	2	SAME_AS_ASCII	left	xor	core.logic_bits	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-001	DOMAIN_GATED	√	U+221A	numeric/math profile	prefix	1	P150_PREFIX	right	sqrt()	std.math	RUNTIME_SUBSTRATE_PARTIAL_SYMBOL_INACTIVE	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-002	DOMAIN_GATED	∛	U+221B	numeric/math profile	prefix	1	P150_PREFIX	right	cubeRoot()	std.math	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-003	DOMAIN_GATED	∜	U+221C	numeric/math profile	prefix	1	P150_PREFIX	right	fourthRoot()	std.math	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-004	DOMAIN_GATED	!	U+0021	postfix in combinatorics profile	postfix	1	P170_POSTFIX	left	factorial()	std.math.combinatorics	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_POSTFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-005	DOMAIN_GATED	∞	U+221E	extended numeric, interval and calculus profiles	literal	0	LITERAL	N/A	inf	std.math.extended	INACTIVE_CURRENT	APPROVED_CONTEXTUAL_LITERAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-006	DOMAIN_GATED	π	U+03C0	math/angle profile	literal constant	0	LITERAL	N/A	PI	std.math.constants	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_CONSTANT	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-007	DOMAIN_GATED	τ	U+03C4	math/angle profile	literal constant	0	LITERAL	N/A	TAU	std.math.constants	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_CONSTANT	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-008	DOMAIN_GATED	∑	U+2211	finite collection/range reduction	binder	1+	BINDER	N/A	sum()	std.math.reduce	NATIVE_SUBSTRATE_PARTIAL_SYMBOL_INACTIVE	APPROVED_DOMAIN_GATED_BINDER	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-009	DOMAIN_GATED	∏	U+220F	finite collection/range reduction	binder	1+	BINDER	N/A	product()	std.math.reduce	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_BINDER	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-010	DOMAIN_GATED	±	U+00B1	measurement/interval profile	infix	2	P130_ADDITIVE	left	Uncertain(value, uncertainty)	std.measurement	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-011	DOMAIN_GATED	≈	U+2248	numeric/measurement profile	infix with required tolerance contract	2+	P110_EQUALITY	non-associative	approxEquals(...)	std.math.approx	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-012	DOMAIN_GATED	≉	U+2249	numeric/measurement profile	infix with required tolerance contract	2+	P110_EQUALITY	non-associative	!approxEquals(...)	std.math.approx	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-013	DOMAIN_GATED	≡	U+2261	symbolic/formal profile	infix	2	P110_EQUALITY	non-associative	equivalentTo()	std.symbolic	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-014	DOMAIN_GATED	∣	U+2223	integer/number-theory profile	infix	2	P120_RELATIONAL	non-associative	divides()	std.math.number_theory	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-015	DOMAIN_GATED	∤	U+2224	integer/number-theory profile	infix	2	P120_RELATIONAL	non-associative	!divides()	std.math.number_theory	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-016	DOMAIN_GATED	⌊x⌋	U+230A U+0078 U+230B	numeric profile	delimited prefix/postfix pair	1	DELIMITER_OPERATOR	N/A	floor()	std.math.rounding	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-017	DOMAIN_GATED	⌈x⌉	U+2308 U+0078 U+2309	numeric profile	delimited prefix/postfix pair	1	DELIMITER_OPERATOR	N/A	ceil()	std.math.rounding	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-018	DOMAIN_GATED	∝	U+221D	symbolic/measurement profile	infix	2	P120_RELATIONAL	non-associative	proportionalTo()	std.symbolic	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-019	DOMAIN_GATED	°	U+00B0	angle/units profile	postfix	1	P170_POSTFIX	left	Angle.degrees()	std.units.angle	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_POSTFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-020	DOMAIN_GATED	‰	U+2030	ratio/units profile	postfix	1	P170_POSTFIX	left	PerMille()	std.units.ratio	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_POSTFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-021	DOMAIN_GATED	‱	U+2031	finance/ratio profile	postfix	1	P170_POSTFIX	left	BasisPoints()	std.units.ratio	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_POSTFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-022	DOMAIN_GATED	°C	U+00B0 U+0043	temperature/units profile	postfix unit suffix	1	P170_POSTFIX	left	Temperature.celsius()	std.units.temperature	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_SUFFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-023	DOMAIN_GATED	°F	U+00B0 U+0046	temperature/units profile	postfix unit suffix	1	P170_POSTFIX	left	Temperature.fahrenheit()	std.units.temperature	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_SUFFIX	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-DOM-024	DOMAIN_GATED	∈	U+2208	set/collection profile	infix	2	P120_RELATIONAL	non-associative	contains()	std.set	COLLECTION_SUBSTRATE_ACTIVE_SYMBOL_INACTIVE	APPROVED_DOMAIN_GATED	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
