id	cls	lexeme	name	context	fixity	arity	precedence	associativity	canonical_ascii	domain	operand_rule	result_rule	evaluation	short_circuit	failure_policy	current_state	target_state	dependencies	description
NSR-CORE-042	CORE_ALWAYS_ON	%	typed percentage	immediately after a numeric expression without an intervening operator	postfix	1	P170_POSTFIX	left	%	core.quantity	exact numeric literal/value accepted by Percent constructor	Percent exact ratio scaled by 1/100	operand once	NO	range policy is type-defined; never silently becomes raw Float	INACTIVE_CURRENT	APPROVED_CANONICAL_POSTFIX	RF46-G35; RF52-G47/G48	Postfix `%` constructs a typed Percent. Infix `%` remains remainder.
NSR-CORE-043	CORE_ALWAYS_ON	…	inclusive range	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.inclusive	core.range	compatible ordered step-capable endpoints	Range<T> inclusive at both ends	start then end exactly once	NO	invalid direction/step handled by Range policy	RANGE_API_ACTIVE_SYMBOL_INACTIVE	APPROVED_CANONICAL	RF27-G06; RF52-G47/G48	Uses the single ellipsis U+2026 so ASCII `..` remains available for lateral flow.
NSR-CORE-044	CORE_ALWAYS_ON	…<	range excluding end	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.exclusiveEnd	core.range	compatible ordered step-capable endpoints	Range<T> including start and excluding end	start then end exactly once	NO	Range policy	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G06; RF52-G47/G48	Half-open range `[start,end)`.
NSR-CORE-045	CORE_ALWAYS_ON	<…	range excluding start	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.exclusiveStart	core.range	compatible ordered step-capable endpoints	Range<T> excluding start and including end	start then end exactly once	NO	Range policy	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G06; RF52-G47/G48	Half-open range `(start,end]`.
NSR-CORE-046	CORE_ALWAYS_ON	<…<	exclusive range	between ordered endpoints	infix	2	P125_RANGE	non-associative	Range.exclusive	core.range	compatible ordered step-capable endpoints	Range<T> excluding both ends	start then end exactly once	NO	Range policy	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G06; RF52-G47/G48	Open range `(start,end)`.
NSR-CORE-047	CORE_ALWAYS_ON	..	lateral flow/tap	expression followed by a lateral block	special flow form	2	SPECIAL_LATERAL_FLOW	non-associative	..	core.flow	any receiver; first profile lends a shared read-only view to the block	the original receiver	receiver once; block once; block result discarded	NO	move/escape/mutation conflicts rejected; no hidden parallelism	INACTIVE_CURRENT	APPROVED_CANONICAL_BOUNDED	RF27-G03/G04; RF52-G47/G48	Observes or derives from a value without replacing the main pipeline receiver.
NSR-UA-001	UNICODE_ALIAS	−	Unicode minus	prefix or infix numeric expression	alias	1 or 2	SAME_AS_ASCII	same as `-`	-	core.numeric	same as ASCII `-`	same as ASCII `-`	identical lowering	NO	identical failure policy	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	U+2212 is an exact source alias for ASCII hyphen-minus in operator context.
NSR-UA-002	UNICODE_ALIAS	÷	Unicode division	infix numeric expression	alias	2	SAME_AS_ASCII	left	/	core.numeric	same as `/`	same as `/`	identical lowering	NO	identical failure policy	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	U+00F7 aliases `/`; U+2215 and other slash confusables do not.
NSR-UA-003	UNICODE_ALIAS	≤	Unicode less-or-equal	relational expression	alias	2	SAME_AS_ASCII	non-associative	<=	core.compare	same as `<=`	Bool	identical lowering	NO	identical diagnostics	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	Exact alias for `<=`.
NSR-UA-004	UNICODE_ALIAS	≥	Unicode greater-or-equal	relational expression	alias	2	SAME_AS_ASCII	non-associative	>=	core.compare	same as `>=`	Bool	identical lowering	NO	identical diagnostics	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	Exact alias for `>=`.
NSR-UA-005	UNICODE_ALIAS	≠	Unicode not-equal	equality expression	alias	2	SAME_AS_ASCII	non-associative	!=	core.eq	same as `!=`	Bool	identical lowering	NO	identical diagnostics	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	Exact alias for `!=`; it is not symbolic inequivalence beyond typed inequality.
NSR-UA-006	UNICODE_ALIAS	∧	Unicode logical AND	Boolean expression	alias	2	SAME_AS_ASCII	left	&&	core.logic	Bool and Bool	Bool	same short-circuit as `&&`	YES_RIGHT_LAZY	same diagnostics	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	Exact short-circuit alias for `&&`.
NSR-UA-007	UNICODE_ALIAS	∨	Unicode logical OR	Boolean expression	alias	2	SAME_AS_ASCII	left	||	core.logic	Bool and Bool	Bool	same short-circuit as `||`	YES_RIGHT_LAZY	same diagnostics	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	Exact short-circuit alias for `||`.
NSR-UA-008	UNICODE_ALIAS	¬	Unicode logical NOT	prefix Boolean expression	alias	1	SAME_AS_ASCII	right	!	core.logic	Bool	Bool	identical lowering	NO	same diagnostics	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF52-G47/G48/G51	Exact alias for prefix logical `!`.
NSR-UA-009	UNICODE_ALIAS	⊻	Unicode XOR	Bool, Int or Bytes expression	alias	2	SAME_AS_ASCII	left	xor	core.logic_bits	same as `xor`	same as `xor`	identical lowering	NO	same diagnostics	INACTIVE_CURRENT	APPROVED_EXACT_ALIAS	RF27-G01; RF52-G47/G48/G51	Exact alias for the canonical ASCII keyword `xor`.
NSR-DOM-001	DOMAIN_GATED	√	square root	numeric/math profile	prefix	1	P150_PREFIX	right	sqrt()	std.math	Sqrt protocol or supported numeric/symbolic type	type-specific root or Result	operand once	NO	domain/precision policy is explicit	RUNTIME_SUBSTRATE_PARTIAL_SYMBOL_INACTIVE	APPROVED_DOMAIN_GATED	RF27-G14; RF46-G35/G36; RF52-G47/G48	Square-root operator; negative real input never silently becomes an untyped NaN.
NSR-DOM-002	DOMAIN_GATED	∛	cube root	numeric/math profile	prefix	1	P150_PREFIX	right	cubeRoot()	std.math	CubeRoot protocol	type-specific root or Result	operand once	NO	domain and precision explicit	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF27-G14; RF46-G35/G36; RF52-G47/G48	Cube root with exact/approximate behavior determined by the numeric type.
NSR-DOM-003	DOMAIN_GATED	∜	fourth root	numeric/math profile	prefix	1	P150_PREFIX	right	fourthRoot()	std.math	FourthRoot protocol	type-specific root or Result	operand once	NO	domain and precision explicit	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF46-G35/G36; RF52-G47/G48	Fourth root.
NSR-DOM-004	DOMAIN_GATED	!	factorial	postfix in combinatorics profile	postfix	1	P170_POSTFIX	left	factorial()	std.math.combinatorics	nonnegative integral domain or Factorial protocol	checked Int/BigInt/domain result	operand once	NO	negative input and overflow rejected or returned as typed failure	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_POSTFIX	RF46-G35; RF52-G47/G48	Postfix factorial; prefix `!` remains core logical NOT.
NSR-DOM-005	DOMAIN_GATED	∞	typed infinity literal	extended numeric, interval and calculus profiles	literal	0	LITERAL	N/A	inf	std.math.extended	context must admit infinity	Float infinity, unbounded interval endpoint or symbolic infinity	compile-time literal	NO	Int context rejected	INACTIVE_CURRENT	APPROVED_CONTEXTUAL_LITERAL	RF46-G35/G36; RF52-G47/G51	Infinity is contextual and never a universal untyped value.
NSR-DOM-006	DOMAIN_GATED	π	pi constant	math/angle profile	literal constant	0	LITERAL	N/A	PI	std.math.constants	context supporting the selected precision	typed constant	compile-time or canonical constant load	NO	precision profile explicit	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_CONSTANT	RF27-G14; RF46-G35; RF52-G47	Unicode constant alias with an ASCII `PI` name in the math module.
NSR-DOM-007	DOMAIN_GATED	τ	tau constant	math/angle profile	literal constant	0	LITERAL	N/A	TAU	std.math.constants	context supporting the selected precision	typed constant	compile-time or canonical constant load	NO	precision profile explicit	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_CONSTANT	RF27-G14; RF46-G35; RF52-G47	Circle constant equal to two pi in the selected precision domain.
NSR-DOM-008	DOMAIN_GATED	∑	summation binder	finite collection/range reduction	binder	1+	BINDER	N/A	sum()	std.math.reduce	finite iterable plus a summable mapped expression	type-specific sum or reduction report	domain once; iteration order explicit and deterministic by default	NO	overflow, cancellation and floating reduction policy explicit	NATIVE_SUBSTRATE_PARTIAL_SYMBOL_INACTIVE	APPROVED_DOMAIN_GATED_BINDER	RF27-G07/G10/G14/G16; RF52-G47/G49	Summation with a dedicated binder grammar; it never hides nondeterministic parallel reduction.
NSR-DOM-009	DOMAIN_GATED	∏	product binder	finite collection/range reduction	binder	1+	BINDER	N/A	product()	std.math.reduce	finite iterable plus multiplicative expression	type-specific product or reduction report	domain once; explicit deterministic order	NO	checked overflow and empty-domain identity policy	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED_BINDER	RF27-G07/G14; RF52-G47/G49	Product reduction.
NSR-DOM-010	DOMAIN_GATED	±	value with symmetric uncertainty	measurement/interval profile	infix	2	P130_ADDITIVE	left	Uncertain(value, uncertainty)	std.measurement	compatible scalar value and nonnegative uncertainty	Uncertain<T> or Measurement<T>	left then right once	NO	invalid uncertainty rejected; propagation policy explicit	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF46-G35/G36; RF52-G47/G48	Constructs a typed uncertain value, not an implicit tuple of two branches.
NSR-DOM-011	DOMAIN_GATED	≈	approximate equality	numeric/measurement profile	infix with required tolerance contract	2+	P110_EQUALITY	non-associative	approxEquals(...)	std.math.approx	comparable approximate domain plus explicit tolerance or an uncertainty-bearing type	Bool	operands once; tolerance once	NO	hidden global epsilon forbidden	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF46-G35/G36; RF52-G47/G48	Approximate equality is valid only with explicit tolerance or intrinsic uncertainty.
NSR-DOM-012	DOMAIN_GATED	≉	not approximately equal	numeric/measurement profile	infix with required tolerance contract	2+	P110_EQUALITY	non-associative	!approxEquals(...)	std.math.approx	same as `≈`	Bool	operands once; tolerance once	NO	hidden epsilon forbidden	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF46-G35/G36; RF52-G47/G48	Typed negation of approximate equality.
NSR-DOM-013	DOMAIN_GATED	≡	symbolic or structural equivalence	symbolic/formal profile	infix	2	P110_EQUALITY	non-associative	equivalentTo()	std.symbolic	symbolic expressions or explicitly registered equivalence domain	Bool or ProofObligation	operands once	NO	must not collapse to ordinary `==`	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF46-G29/G35; RF52-G47	Represents semantic/symbolic equivalence, distinct from runtime typed equality.
NSR-DOM-014	DOMAIN_GATED	∣	divides	integer/number-theory profile	infix	2	P120_RELATIONAL	non-associative	divides()	std.math.number_theory	integral operands	Bool	left then right once	NO	zero divisor convention explicitly defined	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF46-G35; RF52-G47	Tests divisibility.
NSR-DOM-015	DOMAIN_GATED	∤	does not divide	integer/number-theory profile	infix	2	P120_RELATIONAL	non-associative	!divides()	std.math.number_theory	integral operands	Bool	left then right once	NO	same policy as `∣`	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF46-G35; RF52-G47	Negates divisibility.
NSR-DOM-016	DOMAIN_GATED	⌊x⌋	floor delimiters	numeric profile	delimited prefix/postfix pair	1	DELIMITER_OPERATOR	N/A	floor()	std.math.rounding	ordered fractional numeric value	integral or domain-declared result	operand once	NO	overflow/conversion policy explicit	INACTIVE_CURRENT	APPROVED_DOMAIN_GATED	RF27-G14; RF52-G47/G48	Mathematical floor delimiters.
