id	lexeme	utf8_hex	codepoints	registry_class	classification	edition	context	fixity	precedence	associativity	canonical_ascii	positive_ids	negative_ids	limits	authority	registry_sha256
NSR-CORE-011	//	2f2f	U+002F U+002F	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	lexer outside Text/Char/raw literals	lexical	LEXICAL	N/A	//	operator:comment-17,operator:comment-29	operator:comment-does-not-bind	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-012	+	2b	U+002B	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	numeric expression	infix	P130_ADDITIVE	left	+	operator:binary-2b-0,operator:binary-2b-1	operator:wrong-2b	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-013	-	2d	U+002D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	numeric expression	infix	P130_ADDITIVE	left	-	operator:binary-2d-0,operator:binary-2d-1	operator:wrong-2d	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-014	*	2a	U+002A	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	numeric expression	infix	P140_MULTIPLICATIVE	left	*	operator:binary-2a-0,operator:binary-2a-1	operator:wrong-2a	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-015	/	2f	U+002F	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	numeric expression	infix	P140_MULTIPLICATIVE	left	/	operator:binary-2f-0,operator:binary-2f-1	operator:wrong-2f	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-016	%	25	U+0025	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	between expressions	infix	P140_MULTIPLICATIVE	left	%	operator:binary-25-0,operator:binary-25-1	operator:wrong-25	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-017	^	5e	U+005E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	numeric or algebraic expression	infix	P160_POWER	right	^	operator:binary-5e-0,operator:binary-5e-1	operator:wrong-5e	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-018	+	2b	U+002B	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	prefix numeric expression	prefix	P150_PREFIX	right	+	operator:unary-2b-0,operator:unary-2b-1	operator:wrong-unary-2b	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-019	-	2d	U+002D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	prefix numeric expression	prefix	P150_PREFIX	right	-	operator:unary-2d-0,operator:unary-2d-1	operator:wrong-unary-2d	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-020	!	21	U+0021	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	prefix Boolean expression	prefix	P150_PREFIX	right	!	operator:unary-21-0,operator:unary-21-1	operator:wrong-unary-21	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-021	&&	2626	U+0026 U+0026	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	Boolean expression	infix	P090_AND	left	&&	operator:logic-2626-false-false,operator:logic-2626-false-true	operator:wrong-logic-int	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-022	||	7c7c	U+007C U+007C	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	Boolean expression	infix	P080_OR	left	||	operator:logic-7c7c-false-false,operator:logic-7c7c-false-true	operator:wrong-logic-int	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-023	xor	786f72	U+0078 U+006F U+0072	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	Boolean, Int or Bytes expression	infix keyword	P100_XOR	left	xor	operator:binary-786f72-0,operator:binary-786f72-1,operator:bytes-xor-0-786f72-True	operator:wrong-786f72	Equal Int/Bool/Bytes operands; immutable Bytes XOR requires equal lengths at most 4096; fromByte takes one Int and fromValues four Ints in 0..255; private initialized storage; ordered effects and two live outputs.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-024	<	3c	U+003C	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	ordered expression	infix	P120_RELATIONAL	non-associative	<	operator:binary-3c-0,operator:binary-3c-1	operator:wrong-3c	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-025	<=	3c3d	U+003C U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	ordered expression	infix	P120_RELATIONAL	non-associative	<=	operator:binary-3c3d-0,operator:binary-3c3d-1	operator:wrong-3c3d	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-026	>	3e	U+003E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	ordered expression	infix	P120_RELATIONAL	non-associative	>	operator:binary-3e-0,operator:binary-3e-1	operator:wrong-3e	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-027	>=	3e3d	U+003E U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	ordered expression	infix	P120_RELATIONAL	non-associative	>=	operator:binary-3e3d-0,operator:binary-3e3d-1	operator:wrong-3e3d	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-028	==	3d3d	U+003D U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	equality expression	infix	P110_EQUALITY	non-associative	==	operator:binary-3d3d-0,operator:binary-3d3d-1	operator:wrong-3d3d	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-029	!=	213d	U+0021 U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	equality expression	infix	P110_EQUALITY	non-associative	!=	operator:binary-213d-0,operator:binary-213d-1	operator:wrong-213d	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-030	<=>	3c3d3e	U+003C U+003D U+003E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	ordered expression	infix	P120_RELATIONAL	non-associative	<=>	operator:ordering-17-29--1-0,operator:ordering-17-29-0-0	operator:ordering-type	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-031	=	3d	U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to an existing mutable lvalue	statement operator	P020_ASSIGNMENT	right/statement	=	binding:Int-store,binding:Bool-store	binding:constant-bool-write	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-032	+=	2b3d	U+002B U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to an existing mutable numeric lvalue	statement operator	P020_ASSIGNMENT	right/statement	+=	binding:Int-compound-add	binding:constant-bool-write	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-033	-=	2d3d	U+002D U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to an existing mutable numeric lvalue	statement operator	P020_ASSIGNMENT	right/statement	-=	binding:Int-compound-subtract	binding:constant-bool-write	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-034	*=	2a3d	U+002A U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to an existing mutable numeric lvalue	statement operator	P020_ASSIGNMENT	right/statement	*=	binding:Int-compound-multiply	binding:constant-bool-write	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-035	/=	2f3d	U+002F U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to an existing mutable numeric lvalue	statement operator	P020_ASSIGNMENT	right/statement	/=	binding:Int-compound-divide	binding:constant-bool-write	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-036	%=	253d	U+0025 U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to an existing mutable Int-like lvalue	statement operator	P020_ASSIGNMENT	right/statement	%=	binding:Int-compound-remainder	binding:constant-bool-write	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-037	^=	5e3d	U+005E U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to an existing mutable power-capable lvalue	statement operator	P020_ASSIGNMENT	right/statement	^=	binding:Int-compound-power	binding:constant-bool-write	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-038	?	3f	U+003F	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	postfix on Result in a compatible Result-returning context	postfix	P170_POSTFIX	left	?	operator:propagate-False-0,operator:propagate-True-0	operator:result-outside-context	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-039	??	3f3f	U+003F U+003F	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	infix on Option	infix	P050_COALESCE	right	??	operator:coalesce-False-0,operator:coalesce-True-0	operator:coalesce-type-mismatch	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-040	?.	3f2e	U+003F U+002E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	suffix on Option	postfix/contextual	P180_SUFFIX	left	?.	operator:option-chain-False-0,operator:option-chain-True-0	operator:optional-chain-invalid-member	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-041	??=	3f3f3d	U+003F U+003F U+003D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement to mutable Option lvalue	statement operator	P020_ASSIGNMENT	right/statement	??=	operator:coalesce-store-False-0,operator:coalesce-store-True-0	operator:option-assign-immutable	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-042	%	25	U+0025	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	immediately after a numeric expression without an intervening operator	postfix	P170_POSTFIX	left	%	operator:ratio-25-0-False,operator:ratio-25-0-True	operator:wrong-domain-25	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-043	…	e280a6	U+2026	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	between ordered endpoints	infix	P125_RANGE	non-associative	Range.inclusive	operator:range-e280a6-0,operator:range-e280a6-7	operator:chained-range	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-044	…<	e280a63c	U+2026 U+003C	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	between ordered endpoints	infix	P125_RANGE	non-associative	Range.exclusiveEnd	operator:range-e280a63c-0,operator:range-e280a63c-7	operator:chained-range	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-045	<…	3ce280a6	U+003C U+2026	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	between ordered endpoints	infix	P125_RANGE	non-associative	Range.exclusiveStart	operator:range-3ce280a6-0,operator:range-3ce280a6-7	operator:chained-range	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-046	<…<	3ce280a63c	U+003C U+2026 U+003C	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	between ordered endpoints	infix	P125_RANGE	non-associative	Range.exclusive	operator:range-3ce280a63c-0,operator:range-3ce280a63c-7	operator:chained-range	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-047	..	2e2e	U+002E U+002E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	expression followed by a lateral block	special flow form	SPECIAL_LATERAL_FLOW	non-associative	..	operator:lateral-effect-0,operator:lateral-owned-effect-0	operator:lateral-mutation	The linked receiver frame survives native Console and owned Text allocations; body effects occur once before the preserved return.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-001	−	e28892	U+2212	UNICODE_ALIAS	ACTIVE	1;2-compatible	prefix or infix numeric expression	alias	SAME_AS_ASCII	same as `-`	-	operator:binary-e28892-0,operator:binary-e28892-1	operator:wrong-e28892	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-002	÷	c3b7	U+00F7	UNICODE_ALIAS	ACTIVE	1;2-compatible	infix numeric expression	alias	SAME_AS_ASCII	left	/	operator:binary-c3b7-0,operator:binary-c3b7-1	operator:wrong-c3b7	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-003	≤	e289a4	U+2264	UNICODE_ALIAS	ACTIVE	1;2-compatible	relational expression	alias	SAME_AS_ASCII	non-associative	<=	operator:binary-e289a4-0,operator:binary-e289a4-1	operator:wrong-e289a4	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-004	≥	e289a5	U+2265	UNICODE_ALIAS	ACTIVE	1;2-compatible	relational expression	alias	SAME_AS_ASCII	non-associative	>=	operator:binary-e289a5-0,operator:binary-e289a5-1	operator:wrong-e289a5	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-005	≠	e289a0	U+2260	UNICODE_ALIAS	ACTIVE	1;2-compatible	equality expression	alias	SAME_AS_ASCII	non-associative	!=	operator:binary-e289a0-0,operator:binary-e289a0-1	operator:wrong-e289a0	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-006	∧	e288a7	U+2227	UNICODE_ALIAS	ACTIVE	1;2-compatible	Boolean expression	alias	SAME_AS_ASCII	left	&&	operator:logic-e288a7-false-false,operator:logic-e288a7-false-true	operator:wrong-logic-int	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-007	∨	e288a8	U+2228	UNICODE_ALIAS	ACTIVE	1;2-compatible	Boolean expression	alias	SAME_AS_ASCII	left	||	operator:logic-e288a8-false-false,operator:logic-e288a8-false-true	operator:wrong-logic-int	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-008	¬	c2ac	U+00AC	UNICODE_ALIAS	ACTIVE	1;2-compatible	prefix Boolean expression	alias	SAME_AS_ASCII	right	!	operator:unary-c2ac-0,operator:unary-c2ac-1	operator:wrong-unary-c2ac	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-UA-009	⊻	e28abb	U+22BB	UNICODE_ALIAS	ACTIVE	1;2-compatible	Bool, Int or Bytes expression	alias	SAME_AS_ASCII	left	xor	operator:binary-e28abb-0,operator:binary-e28abb-1,operator:bytes-xor-0-786f72-True	operator:wrong-e28abb	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-DOM-001	√	e2889a	U+221A	DOMAIN_GATED	ACTIVE_BOUNDED	1;2-compatible	numeric/math profile	prefix	P150_PREFIX	right	sqrt()	operator:root-e2889a-0,operator:root-e2889a-1	operator:wrong-unary-e2889a	Native checked exact signed Int roots; nonintegral/invalid real roots trap through the arithmetic domain owner.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
