identity	ownership	effects	capabilities	import_grants_capability	limits	negative_cases
NSR-CORE-024	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3c
NSR-CORE-025	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3c3d
NSR-CORE-026	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3e
NSR-CORE-027	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3e3d
NSR-CORE-028	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3d3d
NSR-CORE-029	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-213d
NSR-CORE-030	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:ordering-type
NSR-CORE-031	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write,binding:constant-text-write
NSR-CORE-032	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write
NSR-CORE-033	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write
NSR-CORE-034	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write
NSR-CORE-035	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write
NSR-CORE-036	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write
NSR-CORE-037	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write
NSR-CORE-038	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:result-outside-context
NSR-CORE-039	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:coalesce-type-mismatch
NSR-CORE-040	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:optional-chain-invalid-member
NSR-CORE-041	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:option-assign-immutable
NSR-CORE-042	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-25
NSR-CORE-043	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range
NSR-CORE-044	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range
NSR-CORE-045	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range
NSR-CORE-046	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range
NSR-CORE-047	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; The linked receiver frame survives native Console and owned Text allocations; body effects occur once before the preserved return. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:lateral-mutation
NSR-DOM-001	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Native checked exact signed Int roots; nonintegral/invalid real roots trap through the arithmetic domain owner. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-unary-e2889a
NSR-DOM-002	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Native checked exact signed Int roots; nonintegral/invalid real roots trap through the arithmetic domain owner. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-unary-e2889b
NSR-DOM-003	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Native checked exact signed Int roots; nonintegral/invalid real roots trap through the arithmetic domain owner. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-unary-e2889c
NSR-DOM-004	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-unary-666163746f7269616c
NSR-DOM-005	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-e2889e
NSR-DOM-006	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-cf80
NSR-DOM-007	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-cf84
NSR-DOM-008	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite immutable Array<Int,N> domain; canonical checked constant fold in source order; empty identities 0/1; constant overflow is rejected with NEBO_TYPE_CONSTANT_OVERFLOW; later publication and explicit return remain in the shared Program. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-e28891,operator:reduce-overflow-e28891
NSR-DOM-009	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite immutable Array<Int,N> domain; canonical checked constant fold in source order; empty identities 0/1; constant overflow is rejected with NEBO_TYPE_CONSTANT_OVERFLOW; later publication and explicit return remain in the shared Program. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-e2888f,operator:reduce-overflow-e2888f
NSR-DOM-010	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-c2b1
NSR-DOM-011	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-e28988
NSR-DOM-012	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-e28989
NSR-DOM-013	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-e289a1
NSR-DOM-014	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-e288a3
NSR-DOM-015	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-domain-e288a4
NSR-DOM-016	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-unary-666c6f6f72
NSR-DOM-017	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	operator:wrong-unary-6365696c
NSR-DOM-018	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-e2889d
