path	line_or_field	observed	classification	action	expected_after	validation
compiler/README.md	line:169	Recovery/ErrorNode: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Recovery/ErrorNode: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:182	Semantic ErrorNode validation: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Semantic ErrorNode validation: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:232	Signatures/call graph: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Signatures/call graph: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:248	Behavior/effect selection: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Behavior/effect selection: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:283	Console routing: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Console routing: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:284	Runtime objects: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Runtime objects: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:301	Pending/dependency graph: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Pending/dependency graph: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:316	Pending/dependency graph: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Pending/dependency graph: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/crypto/algorithm_registry_v1.tsv	line:3	"4402	PQC_KEM	1	UNSET	UNCLAIMED	NO_REVIEWED_IMPLEMENTATION	UNAVAILABLE	UNASSESSED	NONE:NONE	NONE:NONE	EXTERNAL_REVIEW_REQUIRED	NONE	UNAVAILABLE	NO_FALLBACK"	NOT_A_RELEASE_STATE	PRESERVE	"4402	PQC_KEM	1	UNSET	UNCLAIMED	NO_REVIEWED_IMPLEMENTATION	UNAVAILABLE	UNASSESSED	NONE:NONE	NONE:NONE	EXTERNAL_REVIEW_REQUIRED	NONE	UNAVAILABLE	NO_FALLBACK"	Exact baseline observation and independently reviewed final release identity
compiler/crypto/algorithm_registry_v1.tsv	line:4	"4403	ZK_PROOF	1	UNSET	UNCLAIMED	NO_APPROVED_BACKEND	UNAVAILABLE	UNASSESSED	NONE:NONE	NONE:NONE	EXTERNAL_REVIEW_REQUIRED	NONE	UNAVAILABLE	NO_FALLBACK"	NOT_A_RELEASE_STATE	PRESERVE	"4403	ZK_PROOF	1	UNSET	UNCLAIMED	NO_APPROVED_BACKEND	UNAVAILABLE	UNASSESSED	NONE:NONE	NONE:NONE	EXTERNAL_REVIEW_REQUIRED	NONE	UNAVAILABLE	NO_FALLBACK"	Exact baseline observation and independently reviewed final release identity
compiler/crypto/algorithm_registry_v1.tsv	line:5	"4404	MPC	1	UNSET	UNCLAIMED	NO_REVIEWED_PROTOCOL	UNAVAILABLE	UNASSESSED	NONE:NONE	NONE:NONE	EXTERNAL_REVIEW_REQUIRED	NONE	UNAVAILABLE	NO_FALLBACK"	NOT_A_RELEASE_STATE	PRESERVE	"4404	MPC	1	UNSET	UNCLAIMED	NO_REVIEWED_PROTOCOL	UNAVAILABLE	UNASSESSED	NONE:NONE	NONE:NONE	EXTERNAL_REVIEW_REQUIRED	NONE	UNAVAILABLE	NO_FALLBACK"	Exact baseline observation and independently reviewed final release identity
compiler/crypto/algorithm_registry_v1.tsv	line:6	"4405	ATTESTATION	1	UNSET	UNCLAIMED	NO_HARDWARE_OR_TRUST_ROOTS	LOCAL_PLATFORM_DISCOVERY	PROJECT_LICENSE	NONE:NONE	NONE:NONE	HARDWARE_UNAVAILABLE	NONE	UNAVAILABLE	NO_MOCK_PROMOTION"	NOT_A_RELEASE_STATE	PRESERVE	"4405	ATTESTATION	1	UNSET	UNCLAIMED	NO_HARDWARE_OR_TRUST_ROOTS	LOCAL_PLATFORM_DISCOVERY	PROJECT_LICENSE	NONE:NONE	NONE:NONE	HARDWARE_UNAVAILABLE	NONE	UNAVAILABLE	NO_MOCK_PROMOTION"	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/index.md	line:23	Source version: `1.1.0`; Language Edition: `1.0`. FINAL_RELEASE_READY.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/index.md	line:24	Latest published release: `1.0.1`. See the [current release notes](releases/NEBO-1.1.0-RELEASE-NOTES.md),	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/index.md	line:28	Source integration and post-merge CI are complete. The release date is unset;	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/index.md	line:29	tag, GitHub Release and asset publication require a separate RELEASE_GO.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:5	Publication status: FINAL_RELEASE_READY	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:6	Latest published release: `1.0.1`	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:7	Release date: UNSET	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:10	FINAL_RELEASE_READY does not mean published: tag `nebo-v1.1.0`, the GitHub	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:11	Release and uploaded assets do not exist yet. A separate RELEASE_GO must freeze	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:44	signing approval, supported OS or GPU claim is made. The latest published release remains 1.0.1 until separate release publication.	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/reference/nebo-1.0/g027-readiness.md	line:23	describe publication. The public source is FINAL_RELEASE_READY after	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/reference/nebo-1.0/g027-readiness.md	line:25	remains 1.0.1. The release date is unset. Tag, GitHub Release and assets require	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/reference/nebo-1.0/g027-readiness.md	line:26	a separate RELEASE_GO. Historical release materialization and roadmap	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:5	Publication status: FINAL_RELEASE_READY	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:6	Latest published release: `1.0.1`	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:7	Release date: UNSET	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:10	FINAL_RELEASE_READY does not mean published: tag `nebo-v1.1.0`, the GitHub	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:11	Release and uploaded assets do not exist yet. A separate RELEASE_GO must freeze	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:44	signing approval, supported OS or GPU claim is made. The latest published release remains 1.0.1 until separate release publication.	CURRENT_RELEASE_NOTES	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/VERSION-DECISION.md	line:5	Publication status: **FINAL_RELEASE_READY**.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/VERSION-DECISION.md	line:6	Latest published release: **1.0.1**.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/VERSION-DECISION.md	line:29	claim. Source integration and post-merge CI are complete. The release date is unset;	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
docs/releases/VERSION-DECISION.md	line:30	tag, GitHub Release and assets await a separate RELEASE_GO.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
examples/native/rf27-g18/x11-window.asm	line:269	jne .not_created	NOT_A_RELEASE_STATE	PRESERVE	jne .not_created	Exact baseline observation and independently reviewed final release identity
examples/native/rf27-g18/x11-window.asm	line:271	.not_created:	NOT_A_RELEASE_STATE	PRESERVE	.not_created:	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:2	"CHANGELOG.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"CHANGELOG.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:3	"README.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"README.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:4	"README_SOURCE.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"README_SOURCE.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:6	"SOURCE-PROVENANCE.json	MODIFY	PROVENANCE	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"SOURCE-PROVENANCE.json	MODIFY	PROVENANCE	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:7	"docs/public/v1.0/index.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"docs/public/v1.0/index.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:8	"docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:9	"docs/reference/nebo-1.0/g027-readiness.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"docs/reference/nebo-1.0/g027-readiness.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:10	"docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:11	"docs/releases/VERSION-DECISION.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"docs/releases/VERSION-DECISION.md	MODIFY	PUBLIC_DOCUMENTATION	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:15	"release/PUBLIC-RELEASE-CANDIDATE.env	MODIFY	CURRENT_STATUS_OWNER	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"release/PUBLIC-RELEASE-CANDIDATE.env	MODIFY	CURRENT_STATUS_OWNER	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:16	"release/PUBLIC-VALIDATION.json	MODIFY	VALIDATION_METADATA	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"release/PUBLIC-VALIDATION.json	MODIFY	VALIDATION_METADATA	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:17	"tests/public/finalization.py	ADD	VALIDATOR	ABSENT	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"tests/public/finalization.py	ADD	VALIDATOR	ABSENT	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:18	"tests/public/finalization_selftest.py	ADD	VALIDATOR	ABSENT	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"tests/public/finalization_selftest.py	ADD	VALIDATOR	ABSENT	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:19	"tests/public/policy.py	MODIFY	VALIDATOR	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"tests/public/policy.py	MODIFY	VALIDATOR	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-CHANGE-MANIFEST.tsv	line:20	"version/DERIVED-VERSION-OWNERS.json	MODIFY	DERIVED_OWNER_POLICY	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"version/DERIVED-VERSION-OWNERS.json	MODIFY	DERIVED_OWNER_POLICY	PULL_REQUEST_CANDIDATE	FINAL_RELEASE_READY	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-STATUS-INVENTORY.tsv	line:2	"CHANGELOG.md	line:5	## [1.1.0] - Unreleased	CURRENT_CHANGELOG	changelog	PRESERVE	## [1.1.0] - Unreleased	Explicit finalization metadata policy; independent baseline inventory audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"CHANGELOG.md	line:5	## [1.1.0] - Unreleased	CURRENT_CHANGELOG	changelog	PRESERVE	## [1.1.0] - Unreleased	Explicit finalization metadata policy; independent baseline inventory audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-STATUS-INVENTORY.tsv	line:3	"CHANGELOG.md	line:35	- Pull request candidate; the latest published release remains 1.0.1.	CURRENT_CHANGELOG	changelog	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"CHANGELOG.md	line:35	- Pull request candidate; the latest published release remains 1.0.1.	CURRENT_CHANGELOG	changelog	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-STATUS-INVENTORY.tsv	line:4	"README.md	line:5	Publication status: PULL_REQUEST_CANDIDATE	CURRENT_PUBLIC_DOCUMENTATION	readme	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"README.md	line:5	Publication status: PULL_REQUEST_CANDIDATE	CURRENT_PUBLIC_DOCUMENTATION	readme	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-STATUS-INVENTORY.tsv	line:5	"README_SOURCE.md	line:3	Language Edition: 1.0. Status: PULL_REQUEST_CANDIDATE.	CURRENT_PUBLIC_DOCUMENTATION	source_build_guide	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"README_SOURCE.md	line:3	Language Edition: 1.0. Status: PULL_REQUEST_CANDIDATE.	CURRENT_PUBLIC_DOCUMENTATION	source_build_guide	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit"	Exact baseline observation and independently reviewed final release identity
release/NEBO-1.1.0-FINALIZATION-STATUS-INVENTORY.tsv	line:6	"README_SOURCE.md	line:4	The latest published release remains 1.0.1.	CURRENT_PUBLIC_DOCUMENTATION	source_build_guide	PRESERVE	1.0.1	Explicit finalization metadata policy; independent baseline inventory audit"	HISTORICAL_FINALIZATION_PR_RECORD	PRESERVE	"README_SOURCE.md	line:4	The latest published release remains 1.0.1.	CURRENT_PUBLIC_DOCUMENTATION	source_build_guide	PRESERVE	1.0.1	Explicit finalization metadata policy; independent baseline inventory audit"	Exact baseline observation and independently reviewed final release identity
