rule_id	subgroup	kind	subject	requirement	profile	authority	authority_sha256	test_count
N1-layout-ownership	S02	CLAUSE	layout-ownership	Distinct live owned values must remain independent and valid through their permitted lifetimes. Internal descriptor offsets and generation representation are not language syntax.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S03-F006	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-effect-lattice	S05	CLAUSE	effect-lattice	Effect tracking is a compiler contract, not a public constructor or a promise that its internal bit layout is a language type. Public effectful calls remain subject to declared purity and authority.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S04-F001	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	2
N1-source-effect-inference	S05	CLAUSE	source-effect-inference	Interpolation permits only pure expressions, including transitive callees; discarded effects still execute outside pure contexts.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S04-F002	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
N1-capability-grants	S05	CLAUSE	capability-grants	Imports grant no authority. Only host-authenticated, scoped capabilities authorize their corresponding sinks; attenuation cannot amplify the grant. The native grant representation is not public syntax.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S04-F003	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	1
N1-import-no-grant	S04	CLAUSE	import-no-grant	Import and prelude resolution grant no capabilities and execute no user initializer.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S04-F004	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-policy-before-sink	S05	CLAUSE	policy-before-sink	An operation denied by the admitted capability policy must fail before its sink; a failed authorization must not consume the capability budget. Internal policy request layouts are not public constructors.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S04-F005	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	1
N1-privacy-and-trust	S05	CLAUSE	privacy-and-trust	Sensitive input must follow the admitted redaction and flow policy; it must not appear in a redacted sink. Native Sensitive/Trusted metadata does not declare additional public source constructors.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S04-F006	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	2
N1-provenance	S05	CLAUSE	provenance	Provenance metadata must preserve authenticated source/transform relationships when that tooling contract is used. Metadata lineage does not add a source-language provenance constructor.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S04-F007	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	1
N1-option-layout	S05	CLAUSE	option-layout	Option has distinct Some(payload) and None() variants. Some carries the declared payload type; None carries no payload. Only the selected variant is observed; invalid payloads and wrong observers reject.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S05-F001	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-result-layout	S05	CLAUSE	result-layout	Ok/Err preserve distinct success/error types and owned payloads across function returns.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S05-F002	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-fallback-laziness	S05	CLAUSE	fallback-laziness	unwrapOr(value) evaluates its value argument eagerly. The admitted ?? and combinator profiles select the active variant; this does not admit arbitrary effectful callback forms.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S05-F003	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	5
N1-error-identity	S05	CLAUSE	error-identity	Error code/category/span/context and cause remain structured; messages are derived from active error identity and caller context.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S05-F004	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-match	S05	CLAUSE	match	Current enum matching observes only the selected active variant and rejects invalid patterns according to the finite source profile.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S05-F005	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	7
N1-propagation	S05	CLAUSE	propagation	? retains the enclosing supported Result type and propagates the active error without reusing helper status as payload.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S05-F006	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-module-init-order	S04	CLAUSE	module-init-order	The native module graph orders dependencies before consumers and lists each module once, independently of unit argument order. The admitted pure source/interface profile has zero runtime user initializers. Native initializer/rollback tests supplement this boundary without granting effectful imported startup.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S06-F001	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-module-init-failure	S04	CLAUSE	module-init-failure	Cycles and effectful imported startup reject before publication. Native rollback reverses successfully initialized resources in the internal initialization contract; interface loading executes no user code.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S06-F002	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-pure-constants	S04	CLAUSE	pure-constants	Pure source/interface constants preserve values and typed symbol identity. Interface loading is not execution.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S06-F003	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-tasks-futures	S05	CLAUSE	tasks-futures	Within the separately measured material profile, without stable-availability promotion: Supported noncapturing task callbacks execute once; Future is single-consumer and map preserves effects.	NORMATIVE_BOUNDARY_OF_MATERIAL_NON_STABLE_PROFILE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S06-F004	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
N1-channels	S05	CLAUSE	channels	Within the separately measured material profile, without stable-availability promotion: Bounded FIFO transport preserves values, capacity errors and close behavior; source loops compose with independent random states.	NORMATIVE_BOUNDARY_OF_MATERIAL_NON_STABLE_PROFILE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S06-F005	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-cancellation-scheduling	S05	CLAUSE	cancellation-scheduling	Within the separately measured material profile, without stable-availability promotion: Cancellation blocks admission; deterministic scheduler/select order is bounded, not a promise of preemptive async source.	NORMATIVE_BOUNDARY_OF_MATERIAL_NON_STABLE_PROFILE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S06-F006	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
N1-resource-closure	S05	CLAUSE	resource-closure	Private filesystem operations enforce beneath/no-symlink paths and close resources. Native synchronization semantics are a separate internal supplement and do not grant additional stable source APIs.	NORMATIVE_BOUNDARY_WITH_INTERNAL_SUPPLEMENT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S06-F007	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-allocation-budget	S07	CLAUSE	allocation-budget	System blocks <=65536 bytes, arena capacity <=1048576; OOM releases earlier successful allocations without publishing a later sink.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F001	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-arithmetic-failures	S07	CLAUSE	arithmetic-failures	Checked integer overflow/division traps do not wrap silently; explicit status preserves canonical return semantics.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F002	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	34
N1-output-capacity	S07	CLAUSE	output-capacity	Tagged publication budget 32 and error text pool 4096 are checked before artifacts/output; plus-one rejects.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F003	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
N1-recursion-budget	S07	CLAUSE	recursion-budget	At most 64 active supported call frames; depth-boundary programs terminate with a defined trap, never hang.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F004	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	2
N1-publication-atomicity	S07	CLAUSE	publication-atomicity	Failure before an atomic sink preserves existing files; rename/capacity/parser failures leave no partial output.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F005	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-source-encoding	S01	CLAUSE	source-encoding	Source must be valid UTF-8. Invalid sequences, executable bidi controls and confusable spellings reject; byte offsets are measured in the original bytes. Formatting must preserve literal and comment payloads.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-LEXICAL-SPEC.md	176cf00fa2d40f695070d838788de81b01da7cd507899052126c88e018c0396d	6
N1-identifier-identity	S01	CLAUSE	identifier-identity	Identifiers use ASCII letters/underscore and subsequent ASCII digits as admitted by the lexical token owner; exact spelling is significant. No Unicode normalization or confusable substitution is implicit; keyword boundaries remain distinct.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/KEYWORD-REGISTRY.tsv	2f0c5e999c839aea02505451483811a30e418e827f32c5f303f61714c22445ab	2
N1-maximal-munch	S01	CLAUSE	maximal-munch	The longest registered token in its admitted context is consumed; compound Unicode tokens retain their whole UTF-8 spans. Recognition alone does not activate a reserved grammar form.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/TOKEN-LEXEME-REGISTRY.tsv	3a6ea67ff99dabb88f89300a3b3fddffa35feb58fb5a0edae7b0d8d196be5ca3	3
N1-comments	S01	CLAUSE	comments	Line comments continue to line end. Block comments nest to depth 64 inclusive; depth 65 rejects without an artifact. Comments cannot activate executable statements. A doc block is structured syntax, not trivia.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-LEXICAL-SPEC.md	176cf00fa2d40f695070d838788de81b01da7cd507899052126c88e018c0396d	4
N1-literal-payload	S01	CLAUSE	literal-payload	Radix/separator integer spellings preserve their values. Float is binary64, Char is one Unicode scalar, Text retains decoded UTF-8 bytes; raw and multiline forms preserve their respective escape and newline rules.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-LEXICAL-SPEC.md	176cf00fa2d40f695070d838788de81b01da7cd507899052126c88e018c0396d	1302
N1-precedence-associativity	S03	CLAUSE	precedence-associativity	The registered binding powers and associativity govern grouping: power is right associative and binds more strongly than unary minus; parentheses explicitly override grouping.	EDITION_1_BOUNDED_NORMATIVE	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0/00-PRECEDENCE-REGISTRY.tsv	8c21768f0b351f1fb2b9effe196c940e274f85bfce33ba5566563d4083e19a43	2
N1-imports-and-capsules	S04	CLAUSE	imports-and-capsules	Simple and selective imports have explicit aliases; named/anonymous capsules and reexports preserve logical module/export identity. Resolution must not depend on a fixture filename. Imported pure interfaces execute no initializer.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/GRAMMAR-AND-PROFILE-NOTES.md	fb1b8d1883ad6f3ee8d924640f705831f92515c33ea69c5bc553fa2cf3325245	6
N1-material-interface	S04	CLAUSE	material-interface	The admitted source-facing binary .ni profile supplies public Int constants with original symbol/type identity; a metadata-only interface cannot manufacture an executable value. Provider-source and material-interface consumers must agree.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/interfaces/NI-SCHEMA-AND-FINGERPRINT-FREEZE.md	f53538cd4816904d1822477d2c9213ff264744a13d82eafd2cea2488298fd9c7	5
N1-doc-attachment	S04	CLAUSE	doc-attachment	A doc block attaches to a material declaration through native AST/DocRecord identity. Its examples and laws are actual Nebo programs. Textual registry identities and serialized SymbolIds must not be conflated.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/interfaces/NI-SCHEMA-AND-FINGERPRINT-FREEZE.md	f53538cd4816904d1822477d2c9213ff264744a13d82eafd2cea2488298fd9c7	3
N1-text-units	S06	CLAUSE	text-units	UTF-8 byte length, Unicode scalar count and grapheme segmentation are distinct operations. Each operation must obey its declared unit and boundary behavior; no implicit normalization is performed.	EDITION_1_BOUNDED_NORMATIVE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	268
N1-format-and-render	S06	CLAUSE	format-and-render	Format/interpolation arguments retain lexical evaluation and typed domain checks. Admitted FormatPlan/RenderPlan profiles preserve exact text and node effects; interpolation expressions must be pure.	EDITION_1_BOUNDED_NORMATIVE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	486
N1-console-and-scan	S06	CLAUSE	console-and-scan	console() is the canonical output surface; print is not valid Nebo. Mock/stdin Scan follows its typed result, cancellation, bounds and redaction contracts. Headless/software evidence does not assert live desktop or hardware availability.	EDITION_1_BOUNDED_NORMATIVE	sdk/contracts/stdlib/STDLIB-PROFILE-BOUNDARIES.tsv	f75432d694f4cdd8f47bc28f34f8d031ba92fdf5147cd157161356c9832036e3	776
N1-diagnostic-contract	S07	CLAUSE	diagnostic-contract	Invalid source must reject before executable publication. Diagnostic code, severity, phase and half-open UTF-8 byte spans are contractual; JSON-lines schema 1 and SARIF/LSP projections preserve that identity. LSP positions use UTF-16.	EDITION_1_BOUNDED_NORMATIVE	sdk/contracts/compatibility/DIAGNOSTIC-COMPATIBILITY-REGISTRY.tsv	d92fbe8a4f51812400512996c8b2ff2e9616e4df2fe6059cd4923bf6e69696a6	12
N1-diagnostic-options	S07	CLAUSE	diagnostic-options	The public check command forwards bounded --max-errors (1..64), exclusive --fail-fast/--keep-going, human/short --show-fixes and --path-style relative/workspace/absolute to the native diagnostic owner. Duplicated options, incompatible modes and out-of-range arguments reject as usage errors before artifact publication.	EDITION_1_BOUNDED_NORMATIVE	compiler/driver/cli/linux-x86_64/cli_driver.asm	0005784201af6835cb78990bd7f0800aa5b745fb813a6bd744934254766560ed	50
N1-process-status	S07	CLAUSE	process-status	The supported Linux process interface observes the low byte of the explicit integer return. Signal termination is distinct from an ordinary exit; a mathematical intermediate must not replace the return.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	37
N1-edition-and-compatibility	S07	CLAUSE	edition-and-compatibility	Edition 1 specifies the admitted bounded profile. The current selector also accepts Edition 2 for compatible forms; unknown IDs reject. Neither selector nor migration preview activates a reserved form or changes files.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/EDITION-POLICY.md	78dc63807f718acc1afd65a8e342fef76807dd454f459d05aa78ee3300bfa8ab	5
N1-declared-target-and-limits	S07	CLAUSE	declared-target-and-limits	Executable conformance here is x86_64 Linux System V ELF. Other targets and wider profiles acquire no guarantee by name. Public bounds and failure policies are enumerated in IMPLEMENTATION-DEFINED-REGISTRY.tsv; compiler and test-harness budgets are distinguished.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/interfaces/NI-SCHEMA-AND-FINGERPRINT-FREEZE.md	f53538cd4816904d1822477d2c9213ff264744a13d82eafd2cea2488298fd9c7	5
N1-conformance-and-consumption	S08	CLAUSE	conformance-and-consumption	Every admitted source statement must be accounted for exactly once. Changed values govern observations; missing rules, unclassified current declarations, dropped statements and altered oracles cannot close conformance.	EDITION_1_BOUNDED_NORMATIVE	tests/release/post-g204-remediation/source_suite.py	cd566b46b54bb197fa5acee395c88c47f8e629929100f126baf83e4c0d1034ca	3
N1-PUBLIC-233cae135785161a6c458f60	S03	PUBLIC_DECLARATION	NSR-CORE-001	The public declaration . in core must retain its exact admitted source form, typed behavior, effects, ownership and negative behavior in the linked current functional reference. Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	STABLE_1_0;BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-001	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	10
N1-PUBLIC-c52a671723afc6a2bbc69340	S03	PUBLIC_DECLARATION	NSR-CORE-002	The public declaration () in core must retain its exact admitted source form, typed behavior, effects, ownership and negative behavior in the linked current functional reference. Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	STABLE_1_0;BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-002	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	10
N1-PUBLIC-5c7f6c563260bd96de04dbad	S03	PUBLIC_DECLARATION	NSR-CORE-003	The public declaration {} in core must retain its exact admitted source form, typed behavior, effects, ownership and negative behavior in the linked current functional reference. Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	STABLE_1_0;BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-003	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	10
N1-PUBLIC-a1bcc34c0f607c3bd21d27d5	S03	PUBLIC_DECLARATION	NSR-CORE-004	The public declaration [] in core must retain its exact admitted source form, typed behavior, effects, ownership and negative behavior in the linked current functional reference. Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	STABLE_1_0;BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-004	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	14
N1-PUBLIC-76d9529bd10c7510188043fd	S03	PUBLIC_DECLARATION	NSR-CORE-005	The public declaration <...> in core must retain its exact admitted source form, typed behavior, effects, ownership and negative behavior in the linked current functional reference. Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	STABLE_1_0;BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-005	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	14
N1-PUBLIC-9342bca221dbd9d560c3f521	S03	PUBLIC_DECLARATION	NSR-CORE-006	The public declaration , in core must retain its exact admitted source form, typed behavior, effects, ownership and negative behavior in the linked current functional reference. Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	STABLE_1_0;BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-006	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	6
N1-PUBLIC-babe1641ef0a800ea0a5956a	S03	PUBLIC_DECLARATION	NSR-CORE-007	The public declaration ; in core must retain its exact admitted source form, typed behavior, effects, ownership and negative behavior in the linked current functional reference. Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	STABLE_1_0;BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-007	a66eec0cbb7f0a99f20ae489208f1ba1106cd2c327e475daf406d615e3e55bab	10
