item_id	subject	defined_value	failure_policy	scope	authority	state
ID-PUBLIC-a1320d1d8768477e1d9f616e	NSR-CORE-014	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2a	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-014	DECLARED
ID-PUBLIC-c28d867d69411a276c472112	NSR-CORE-015	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2f	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-015	DECLARED
ID-PUBLIC-d836ced6bcbc26eeb63ac6d1	NSR-CORE-016	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-25	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-016	DECLARED
ID-PUBLIC-f76dde8b86993e2eb975705f	NSR-CORE-017	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-5e	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-017	DECLARED
ID-PUBLIC-947dbacc5b8b1d8f4b7adc50	NSR-CORE-018	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-unary-2b	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-018	DECLARED
ID-PUBLIC-2ffa8e06869b38e8aa044187	NSR-CORE-019	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-unary-2d	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-019	DECLARED
ID-PUBLIC-8aa3114f59b96a60cde50914	NSR-CORE-020	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-unary-21	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-020	DECLARED
ID-PUBLIC-f27b68fb29fb12013c4242b0	NSR-CORE-021	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-logic-int	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-021	DECLARED
ID-PUBLIC-c7b9321bdc78e40ba24167b6	NSR-CORE-022	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-logic-int	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-022	DECLARED
ID-PUBLIC-f6af19ba8aada1245ebb5c14	NSR-CORE-023	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Equal Int/Bool/Bytes operands; immutable Bytes XOR requires equal lengths at most 4096; fromByte takes one Int and fromValues four Ints in 0..255; private initialized storage; ordered effects and two live outputs. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-786f72,operator:bytes-xor-mixed,operator:bytes-bool,operator:bytes-arity	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-023	DECLARED
ID-PUBLIC-ffafddcec61723507869c0c6	NSR-CORE-024	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3c	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-024	DECLARED
ID-PUBLIC-e847ffc4d646d1bd749bfec8	NSR-CORE-025	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3c3d	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-025	DECLARED
ID-PUBLIC-87e29b308c4c72b0e7d3af64	NSR-CORE-026	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3e	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-026	DECLARED
ID-PUBLIC-39608bfd345b671ca27cea42	NSR-CORE-027	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3e3d	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-027	DECLARED
ID-PUBLIC-15d680f301d90590b417bab6	NSR-CORE-028	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-3d3d	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-028	DECLARED
ID-PUBLIC-4b7f82eb079c0e1ec516e2a3	NSR-CORE-029	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-213d	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-029	DECLARED
ID-PUBLIC-918d3d0d9c4049cea4face3f	NSR-CORE-030	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:ordering-type	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-030	DECLARED
ID-PUBLIC-46b5aa678a419a2007c44aad	NSR-CORE-031	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write,binding:constant-text-write	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-031	DECLARED
ID-PUBLIC-5c8b2b62e02477c2f647e671	NSR-CORE-032	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-032	DECLARED
ID-PUBLIC-5ee0126d2c1a3273d47b11ed	NSR-CORE-033	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-033	DECLARED
ID-PUBLIC-7e5ae120970cbfc5d6a62ab1	NSR-CORE-034	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-034	DECLARED
ID-PUBLIC-8f2de96b3d11aa00d980fc55	NSR-CORE-035	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-035	DECLARED
ID-PUBLIC-d1507ef7a50385ff2523509a	NSR-CORE-036	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-036	DECLARED
ID-PUBLIC-6556b3167c669135545295d9	NSR-CORE-037	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	binding:constant-bool-write	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-037	DECLARED
ID-PUBLIC-33326957e909dff1b3f74fa2	NSR-CORE-038	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:result-outside-context	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-038	DECLARED
ID-PUBLIC-48a90c8e53504d330248a0bd	NSR-CORE-039	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:coalesce-type-mismatch	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-039	DECLARED
ID-PUBLIC-7bfc47d8000ece9903153e8c	NSR-CORE-040	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:optional-chain-invalid-member	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-040	DECLARED
ID-PUBLIC-ab8abbb9e22114738cd8c4d1	NSR-CORE-041	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:option-assign-immutable	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-041	DECLARED
ID-PUBLIC-942b0f0769353f3a8adab4e0	NSR-CORE-042	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-25	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-042	DECLARED
ID-PUBLIC-de46c2fe44efbd7da87be345	NSR-CORE-043	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-043	DECLARED
ID-PUBLIC-4abc55d56d9c2692a68ceeec	NSR-CORE-044	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-044	DECLARED
ID-PUBLIC-e77f5709cdc7b8ac6d3817f9	NSR-CORE-045	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-045	DECLARED
ID-PUBLIC-8e65be4e9ece7a6d415e4e9f	NSR-CORE-046	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:chained-range,operator:ascii-three-dot-range	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-046	DECLARED
