identity	name	module	layer	tier	rule_id	classification	reason
NSR-CORE-011	//	core	CORE	STABLE_1_0	N1-PUBLIC-1dc475a172d2a889f3a676d6	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-012	+	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-d5542f0adab915dc31d5fd71	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-013	-	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-77d61b140de7af4cea4c66e7	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-014	*	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-a1320d1d8768477e1d9f616e	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-015	/	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-c28d867d69411a276c472112	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-016	%	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-d836ced6bcbc26eeb63ac6d1	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-017	^	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-f76dde8b86993e2eb975705f	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-018	+	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-947dbacc5b8b1d8f4b7adc50	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-019	-	core.numeric	CORE	STABLE_1_0	N1-PUBLIC-2ffa8e06869b38e8aa044187	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-020	!	core.logic	CORE	STABLE_1_0	N1-PUBLIC-8aa3114f59b96a60cde50914	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-021	&&	core.logic	CORE	STABLE_1_0	N1-PUBLIC-f27b68fb29fb12013c4242b0	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-022	||	core.logic	CORE	STABLE_1_0	N1-PUBLIC-c7b9321bdc78e40ba24167b6	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-023	xor	core.logic_bits	CORE	STABLE_1_0	N1-PUBLIC-f6af19ba8aada1245ebb5c14	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Equal Int/Bool/Bytes operands; immutable Bytes XOR requires equal lengths at most 4096; fromByte takes one Int and fromValues four Ints in 0..255; private initialized storage; ordered effects and two live outputs.
NSR-CORE-024	<	core.compare	CORE	STABLE_1_0	N1-PUBLIC-ffafddcec61723507869c0c6	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-025	<=	core.compare	CORE	STABLE_1_0	N1-PUBLIC-e847ffc4d646d1bd749bfec8	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-026	>	core.compare	CORE	STABLE_1_0	N1-PUBLIC-87e29b308c4c72b0e7d3af64	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-027	>=	core.compare	CORE	STABLE_1_0	N1-PUBLIC-39608bfd345b671ca27cea42	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-028	==	core.eq	CORE	STABLE_1_0	N1-PUBLIC-15d680f301d90590b417bab6	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-029	!=	core.eq	CORE	STABLE_1_0	N1-PUBLIC-4b7f82eb079c0e1ec516e2a3	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-030	<=>	core.compare	CORE	STABLE_1_0	N1-PUBLIC-918d3d0d9c4049cea4face3f	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-031	=	core.mutation	CORE	STABLE_1_0	N1-PUBLIC-46b5aa678a419a2007c44aad	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-032	+=	core.mutation	CORE	STABLE_1_0	N1-PUBLIC-5c8b2b62e02477c2f647e671	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-033	-=	core.mutation	CORE	STABLE_1_0	N1-PUBLIC-5ee0126d2c1a3273d47b11ed	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-034	*=	core.mutation	CORE	STABLE_1_0	N1-PUBLIC-7e5ae120970cbfc5d6a62ab1	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-035	/=	core.mutation	CORE	STABLE_1_0	N1-PUBLIC-8f2de96b3d11aa00d980fc55	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-036	%=	core.mutation	CORE	STABLE_1_0	N1-PUBLIC-d1507ef7a50385ff2523509a	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-037	^=	core.mutation	CORE	STABLE_1_0	N1-PUBLIC-6556b3167c669135545295d9	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-038	?	core.result	CORE	STABLE_1_0	N1-PUBLIC-33326957e909dff1b3f74fa2	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-039	??	core.option	CORE	STABLE_1_0	N1-PUBLIC-48a90c8e53504d330248a0bd	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-040	?.	core.option	CORE	STABLE_1_0	N1-PUBLIC-7bfc47d8000ece9903153e8c	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-041	??=	core.option_mutation	CORE	STABLE_1_0	N1-PUBLIC-ab8abbb9e22114738cd8c4d1	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-042	%	core.quantity	CORE	STABLE_1_0	N1-PUBLIC-942b0f0769353f3a8adab4e0	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-043	…	core.range	CORE	STABLE_1_0	N1-PUBLIC-de46c2fe44efbd7da87be345	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-044	…<	core.range	CORE	STABLE_1_0	N1-PUBLIC-4abc55d56d9c2692a68ceeec	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-045	<…	core.range	CORE	STABLE_1_0	N1-PUBLIC-e77f5709cdc7b8ac6d3817f9	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-046	<…<	core.range	CORE	STABLE_1_0	N1-PUBLIC-8e65be4e9ece7a6d415e4e9f	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-047	..	core.flow	CORE	STABLE_1_0	N1-PUBLIC-26eb1cc3efaf586156013b71	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; The linked receiver frame survives native Console and owned Text allocations; body effects occur once before the preserved return.
NSR-DOM-001	√	std.math	STDLIB	STABLE_1_0	N1-PUBLIC-08c8301bf69c6f35087e43d6	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Native checked exact signed Int roots; nonintegral/invalid real roots trap through the arithmetic domain owner.
NSR-DOM-002	∛	std.math	STDLIB	STABLE_1_0	N1-PUBLIC-fdc13381d00d100fe02deb4d	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Native checked exact signed Int roots; nonintegral/invalid real roots trap through the arithmetic domain owner.
NSR-DOM-003	∜	std.math	STDLIB	STABLE_1_0	N1-PUBLIC-0aaf1c4f534d4c65ba8fd527	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Native checked exact signed Int roots; nonintegral/invalid real roots trap through the arithmetic domain owner.
NSR-DOM-004	!	std.math.combinatorics	STDLIB	STABLE_1_0	N1-PUBLIC-3f14ea90d8a94f4ae3b8f5b3	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-005	∞	std.math.extended	STDLIB	STABLE_1_0	N1-PUBLIC-f7c05bead291b5e6544a6231	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-006	π	std.math.constants	STDLIB	STABLE_1_0	N1-PUBLIC-cccf8646004e3b1d67c9ca83	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-007	τ	std.math.constants	STDLIB	STABLE_1_0	N1-PUBLIC-1c2ff3dda1c7b3d128eac9a5	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-008	∑	std.math.reduce	STDLIB	STABLE_1_0	N1-PUBLIC-7ccaad58bee301ddcc7eba3e	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite immutable Array<Int,N> domain; canonical checked constant fold in source order; empty identities 0/1; constant overflow is rejected with NEBO_TYPE_CONSTANT_OVERFLOW; later publication and explicit return remain in the shared Program.
NSR-DOM-009	∏	std.math.reduce	STDLIB	STABLE_1_0	N1-PUBLIC-247308f8eebbe84e08df67be	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite immutable Array<Int,N> domain; canonical checked constant fold in source order; empty identities 0/1; constant overflow is rejected with NEBO_TYPE_CONSTANT_OVERFLOW; later publication and explicit return remain in the shared Program.
NSR-DOM-010	±	std.measurement	STDLIB	STABLE_1_0	N1-PUBLIC-b4a1cc1ca9553d16841c50a3	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-011	≈	std.math.approx	STDLIB	STABLE_1_0	N1-PUBLIC-aa38abbdf5bce095ce6e4f09	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-012	≉	std.math.approx	STDLIB	STABLE_1_0	N1-PUBLIC-77ed037837f30181289aebfb	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-013	≡	std.symbolic	STDLIB	STABLE_1_0	N1-PUBLIC-a781a4c2f24d9a2b67a9e288	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-014	∣	std.math.number_theory	STDLIB	STABLE_1_0	N1-PUBLIC-5e4e98f9125aa0de261d06e2	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-015	∤	std.math.number_theory	STDLIB	STABLE_1_0	N1-PUBLIC-28a4ddd304f7a7b9e2843017	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-016	⌊x⌋	std.math.rounding	STDLIB	STABLE_1_0	N1-PUBLIC-b2b6d1ed02b0d6cc041b6bad	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-017	⌈x⌉	std.math.rounding	STDLIB	STABLE_1_0	N1-PUBLIC-9727d4706ea39de68220ef36	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-018	∝	std.symbolic	STDLIB	STABLE_1_0	N1-PUBLIC-e6e87512bb9f6bd0c170d39d	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-019	°	std.units.angle	STDLIB	STABLE_1_0	N1-PUBLIC-4b74f4c2b9898a033d4f707f	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-020	‰	std.units.ratio	STDLIB	STABLE_1_0	N1-PUBLIC-68868e7209c90ef2b637226e	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-021	‱	std.units.ratio	STDLIB	STABLE_1_0	N1-PUBLIC-cfcb433a8926ee9ffe210ebb	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-022	°C	std.units.temperature	STDLIB	STABLE_1_0	N1-PUBLIC-1317c51b6bd0f0c367906b89	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-023	°F	std.units.temperature	STDLIB	STABLE_1_0	N1-PUBLIC-89514a0fb4a26a3af3f7e557	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-024	∈	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-6d6b6ab9478a23e5e503c042	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-025	∉	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-b42706e891f5607a73cb573a	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-026	∪	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-441cd9343bb9792f2a30dd2b	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-027	∩	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-1d25c638f7eae27b1acc7904	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-028	∖	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-e6aac400d0188a0f5f6fd90d	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-029	△	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-2dfeb1de31c2d139532b37c1	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-030	⊆	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-ade8cd491b826f12ea982227	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-031	⊂	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-34a695d76228ebdf57e87da4	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-032	⊇	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-69d18df74b95da3e608d10b6	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-033	⊃	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-dc47f7040220d4421244293f	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-034	×	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-2e3812c0b15903b90b76e4a1	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current G133 finite immutable Array<Int,N> set profile with distinct values in 0..62; canonical mask/cardinality owner; independent Python set operations. This does not substitute for the separately proved native Dict/Set APIs.
NSR-DOM-035	∅	std.set	STDLIB	STABLE_1_0	N1-PUBLIC-65bdc89d6580e8b747fefeb2	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-DOM-036	·	std.linalg	STDLIB	STABLE_1_0	N1-PUBLIC-8af8ee591216032cd57525c3	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Typed infix statement profile additionally supports Int extents 1..64 (cross/parallel exactly 3), tensor result at most 64 lanes; native checked kernels, distinct owned results, ordered operands and explicit program return.
