canonical_identity	code	native_id	severity	phase	message	span_contract	machine_formats	exit_contract	compatibility
native-catalog:NEBO_CONTROL_CONDITION_TYPE	NEBO_CONTROL_CONDITION_TYPE	44	1	6	if and logical conditions require Bool	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CONTROL_BRANCH_SCOPE	NEBO_CONTROL_BRANCH_SCOPE	45	1	6	branch scopes must be distinct children of the parent scope	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_EFFECT_THREAD_CAPABILITY	NEBO_EFFECT_THREAD_CAPABILITY	46	1	6	only console or scan effects may be thread-capable	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-LEX-001	NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-LEX-001	47	1	3	unknown or non-canonical Policy atom or literal	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-PARSE-002	NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-PARSE-002	48	1	4	malformed or non-canonical Policy clause order	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-TYPE-003	NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-TYPE-003	49	1	6	Policy value or effect constraint is invalid	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-CODEGEN-004	NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-CODEGEN-004	50	1	10	Policy proof cannot be lowered for this target or front	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-RUNTIME-005	NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-RUNTIME-005	51	1	11	Policy evaluation budget is exceeded	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-SECURITY-006	NEBO-EFFECTS-CAPABILITIES-E-POLITICAS-SECURITY-006	52	1	14	Policy capability allow deny trust or audit check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-LEX-001	NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-LEX-001	53	1	3	unknown or non-canonical privacy wrapper, type or label	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-PARSE-002	NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-PARSE-002	54	1	4	malformed or non-canonical privacy proof syntax	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-TYPE-003	NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-TYPE-003	55	1	6	privacy wrapper or redaction label set is invalid	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-CODEGEN-004	NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-CODEGEN-004	56	1	10	privacy proof cannot be lowered for this target or front	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-RUNTIME-005	NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-RUNTIME-005	57	1	11	privacy retention or runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-SECURITY-006	NEBO-PRIVACIDADE-DADOS-SENSIVEIS-E-ZERO-TRUST-SECURITY-006	58	1	14	privacy policy trust purpose redaction or sink check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-QUALITY-CONFIDENCE-E-LINEAGE-LEX-001	NEBO-QUALITY-CONFIDENCE-E-LINEAGE-LEX-001	59	1	3	unknown or non-canonical quality confidence or lineage name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-QUALITY-CONFIDENCE-E-LINEAGE-PARSE-002	NEBO-QUALITY-CONFIDENCE-E-LINEAGE-PARSE-002	60	1	4	malformed quality confidence or lineage proof syntax	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-QUALITY-CONFIDENCE-E-LINEAGE-TYPE-003	NEBO-QUALITY-CONFIDENCE-E-LINEAGE-TYPE-003	61	1	6	quality confidence score or lineage identity is invalid	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-QUALITY-CONFIDENCE-E-LINEAGE-CODEGEN-004	NEBO-QUALITY-CONFIDENCE-E-LINEAGE-CODEGEN-004	62	1	10	quality confidence lineage proof is unavailable before QUALITY-CONFIDENCE-E-LINEAGE-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-QUALITY-CONFIDENCE-E-LINEAGE-RUNTIME-005	NEBO-QUALITY-CONFIDENCE-E-LINEAGE-RUNTIME-005	63	1	11	quality confidence or lineage runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-QUALITY-CONFIDENCE-E-LINEAGE-SECURITY-006	NEBO-QUALITY-CONFIDENCE-E-LINEAGE-SECURITY-006	64	1	14	quality confidence privacy or lineage authority check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-LEX-001	NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-LEX-001	65	1	3	unknown or non-canonical ownership lifetime or action name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-PARSE-002	NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-PARSE-002	66	1	4	malformed ownership lifetime or resource action syntax	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-TYPE-003	NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-TYPE-003	67	1	6	resource owner lifetime or borrower identity is invalid	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-CODEGEN-004	NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-CODEGEN-004	68	1	10	ownership lifetime resource action is unavailable before MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
